,,time_bin,gyro_X (rad/s),gyro_Y (rad/s),gyro_Z (rad/s),linacc_X (m/s^2),linacc_Y (m/s^2),linacc_Z (m/s^2),accel_X (m/s^2),accel_Y (m/s^2),accel_Z (m/s^2),orient_w,orient_x,orient_y,orient_z,orient_Direct (°),orient_Yaw (°),orient_Pitch (°),orient_Roll (°),pressure_X (hPa),exercise_class,exercise_type,session,LOF_Label,LOF_Score,PC1,PC2
subj3,166,6.0,0.0150537548528799,0.0115020150032334,-0.07077010043251,0.0189557463636199,-0.1360513298176,-0.2418026862834,1.899672877270297,6.724943625623762,6.396114557910892,0.515368188877,0.12830432500485,-0.3765136151454999,-0.754906143462,117.8744551945,45.73683915365,-11.170793529875,-115.79699593200002,1000.266495,2,Squat,3,1,-1.0034111642838193,1.877327906142917,2.341026219698964
subj3,167,8.0,-0.0147009838357,0.020899842354439,0.0560136656469539,0.0009888116764599,-0.1828323879924099,-0.337538937683555,1.6187368194893,6.87344409941,6.077353079240001,0.5033396605920397,0.1448303747322885,-0.3832979063189054,-0.7573919474696518,119.5026114671642,47.64249280029851,-9.548192791731344,-116.7559806124378,1000.263214,2,Squat,3,1,-1.0650578486250004,2.0220814515078254,1.878507011739036
subj3,168,10.0,-0.0614853659645339,-0.09363891601768,0.06804394100734,-0.063159705250212,0.4468096397258,-0.0309426290752899,0.8796876800534599,8.3491533462,5.55314617304,0.4951627077880597,0.2098237613549253,-0.4089304164835821,-0.7339880729368159,120.60974633582089,54.64641658726369,-5.5992964846819255,-114.61347938557216,1000.263786,2,Squat,3,1,-0.9940911934196442,2.54085447660292,-2.21573733617364
subj3,169,12.0,0.10664805682602,0.08004472003054,-0.0892694988431,0.01362603268026,0.4520369394157,-0.0390084947072,1.4596295362277227,8.19372047661386,5.550948327663366,0.4885883811795,0.17870357471665,-0.419948236799,-0.738213785297,121.46666755,54.03138592505,-8.51844828107,-116.9051544355,1000.272179,2,Squat,3,1,-0.9859736061346606,2.70348482605135,-1.1184829040481354
subj3,170,14.0,0.0281161907403299,-0.0040660446154299,-0.01993027250497,-0.0676079383509399,-0.39665364475284,-0.47566568113913,2.10027645262,6.86928574675,5.632710218790001,0.5095377325169155,0.1329243905485074,-0.4092843383810945,-0.7418868113527363,118.71301657960198,49.88011015054726,-12.76563064467164,-116.7261022273632,1000.2828215,2,Squat,3,1,-0.952562462390722,2.392904036507109,2.348514894428989
subj3,171,16.0,-0.1389487311899299,-0.08829048924964,0.07866453260303,0.00908666960133,0.3450485869037999,-0.0254772073738799,1.384143159486,8.24431436006,5.41779912871,0.486322729975,0.18730464267115,-0.426740064879,-0.735040120601,121.7746479675,55.31629572975,-8.10321898401,-116.9436712425,1000.291138,2,Squat,3,1,-0.9541981112215027,2.838321479497875,-1.4431063088433964
subj3,172,18.0,0.05797406281286,0.04503184958286,-0.044113823462506,-0.00573215779782,0.31794014669949,0.0205778429214,1.4709087295469998,7.97352596742,5.904944604470001,0.5005394815875622,0.1747490366750746,-0.4091795023960199,-0.7410569053562189,119.92037955422884,52.41089251492537,-8.706592084955224,-116.11502506915424,1000.2871325,2,Squat,3,1,-0.9774303562181277,2.4273280966197697,-0.7468213920622991
subj3,173,20.0,0.07606261193366,0.0313719566560719,-0.0345764832767,-0.040935948940848,-0.17003118979637,-0.33031589265683,2.222883430722772,7.0789930196831685,5.774666272138614,0.4955826806890547,0.1194527573045273,-0.4131277721417911,-0.7515304007741294,120.57184785074628,49.76730745044776,-13.394648824850746,-119.1772379079602,1000.2682115,2,Squat,3,1,-1.036377345159699,2.3337441930757685,1.8879257189117615
subj3,174,22.0,-0.14928436548759,-0.07041939270481,0.09462935220046,-0.02588663964455,0.19111315045827,-0.0969331150438,2.21073625027673,7.37335053865,5.95507835084,0.5084557533445,0.12799703644465,-0.4102107166855,-0.7414176662865001,118.85076612,49.75011770945,-13.24768874355,-116.886231724,1000.2449795,2,Squat,3,1,-1.0027520129910266,2.379754212195851,0.6363140767561443
subj3,175,24.0,0.014965615672119,0.020435425218472,-0.0338024885927996,-0.12146270911089,0.2536766505134999,-0.225094267566,1.1161704117006002,8.133567159990001,5.32536185306,0.4908175029542289,0.1932672588608955,-0.418604576822388,-0.735897860919403,121.18607460547264,54.70979956278607,-7.317206000238807,-116.1186091,1000.234299,2,Squat,3,1,-1.037879629730887,2.5686507665286302,-1.269984573654886
subj3,176,26.0,0.09567003129882,0.077753172971286,-0.06362745024896,0.037130701590429,0.13531466835315,-0.02985820446783,2.089055786120792,7.21213891350495,6.30791233180198,0.5080424907985001,0.1276930504034999,-0.394780179723,-0.7509410649660001,118.9078985725,47.97742570250001,-12.169929280785,-116.953030116,1000.2254485,2,Squat,3,1,-1.0223650612930109,2.1283731882871235,1.3021282864126837
subj3,177,28.0,-0.0839129944642,-0.072062407582699,0.02916373614735,-0.04717808261365,-0.20628086875971,-0.25913117886508,2.199711676079,6.7278897812,6.13873742982,0.5237833199800994,0.1230864722825373,-0.3928190058915423,-0.7427130857950249,116.80237027462688,47.276789970597015,-13.270977823925373,-115.19266392885572,1000.224075,2,Squat,3,1,-0.9704291801841233,2.1011703979332697,2.2348088939171307
subj3,178,30.0,-0.0243826753995569,-0.02740995925897,0.01802464548344,-0.068746963905491,0.34184114942262,-0.09561105957253,1.060866416903,8.35860768589,5.359200485190001,0.4897809489721393,0.2033636091846268,-0.4215211030890547,-0.7334488533358209,121.34333804527364,55.67833982522388,-6.669040862258706,-115.87352732338309,1000.2329635,2,Squat,3,1,-1.0102999147887854,2.7142555332749962,-1.772807692518302
subj3,179,32.0,0.14244610572208,0.10784936578582,-0.06562851209373,-0.00814619247543,0.3501570419287,0.005888403425017,1.7481730712060397,7.864168160079208,5.8111132524950495,0.5129402128995,0.1666618690942,-0.4102047811754999,-0.7296418908665,118.2564736855,52.1069664565,-10.410742542953502,-114.393688691,1000.2453995,2,Squat,3,1,-0.9720312569343117,2.557817196044731,-0.3850376815870643
subj3,180,34.0,-0.11111389320962,-0.07306395515776,0.05289079313416,-0.04100754187982,-0.3583580893583,-0.35515213409083,2.2812411346745,6.45168415375,6.10036322936,0.5265392305358209,0.1172229331750746,-0.3886315123905473,-0.7428606057920398,116.44197416567164,46.533104245671645,-13.73160948861194,-114.92685721044776,1000.253601,2,Squat,3,1,-1.0276412350596407,2.0960725004103615,2.982587138276485
