"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
4.207872500E0,-6.899611413E-1,1.185256487E0,9.713661275E0
4.227771500E0,-6.576725972E-1,1.208012827E0,9.713098188E0
4.247671500E0,-6.439523249E-1,1.211551781E0,9.713576490E0
4.267571500E0,-6.590753442E-1,1.206165984E0,9.713232674E0
4.287471500E0,-6.437463567E-1,1.201456563E0,9.714844167E0
4.307370500E0,-6.040445299E-1,1.184833806E0,9.719434231E0
4.327270500E0,-5.911643198E-1,1.153287566E0,9.724019617E0
4.347170500E0,-5.926739247E-1,1.118185122E0,9.728026714E0
4.367070500E0,-5.854269222E-1,1.078741925E0,9.732917910E0
4.386969500E0,-5.816010890E-1,1.030841973E0,9.738337110E0
4.406869500E0,-5.902353069E-1,9.794892403E-1,9.743116624E0
4.426769500E0,-5.975762669E-1,9.269018678E-1,9.747813107E0
4.446669500E0,-5.729524358E-1,8.802936387E-1,9.753610037E0
4.466568500E0,-5.221900889E-1,8.520858664E-1,9.758963163E0
4.486468500E0,-4.570643126E-1,8.316189305E-1,9.763995277E0
4.506368500E0,-3.779004313E-1,8.184638648E-1,9.768490616E0
4.526268500E0,-2.774649642E-1,8.079756410E-1,9.772731602E0
4.546167500E0,-1.909835484E-1,7.905021872E-1,9.776232914E0
4.566067500E0,-1.383382793E-1,7.736361129E-1,9.778468890E0
4.585967500E0,-1.060616032E-1,7.608462057E-1,9.779875730E0
4.605867500E0,-7.922686676E-2,7.484300087E-1,9.781087857E0
4.625766500E0,-4.601481433E-2,7.384144592E-1,9.782061419E0
4.645666500E0,-8.528426697E-3,7.211548673E-1,9.783453641E0
4.665566500E0,6.316632409E-2,7.024377839E-1,9.784614898E0
4.685466500E0,1.426188523E-1,6.955206008E-1,9.784273421E0
4.705365500E0,1.978430998E-1,6.996219841E-1,9.783020362E0
4.725265500E0,2.205021568E-1,7.222925893E-1,9.780887883E0
4.745165500E0,1.947344276E-1,7.461058136E-1,9.779647688E0
4.765065500E0,1.630257080E-1,7.815510502E-1,9.777459075E0
4.784964500E0,1.874471341E-1,7.937468802E-1,9.776038787E0
4.804864500E0,2.905629465E-1,7.619800539E-1,9.776045219E0
4.824764500E0,3.862619497E-1,6.948298985E-1,9.777735649E0
4.844664500E0,3.924916463E-1,6.000641840E-1,9.783760620E0
4.864563500E0,3.278842988E-1,4.713640074E-1,9.793181654E0
4.884463500E0,2.540882528E-1,3.031686116E-1,9.802021474E0
4.904363500E0,1.928595361E-1,1.059547179E-1,9.807531890E0
4.924263500E0,1.403365744E-1,-9.614106179E-2,9.808524747E0
4.944162500E0,1.051497482E-1,-2.742249306E-1,9.805602894E0
4.964062500E0,1.005817845E-1,-4.187613225E-1,9.800542129E0
4.983962500E0,1.539308939E-1,-5.281133549E-1,9.794565105E0
5.003862292E0,2.771242725E-1,-6.098409844E-1,9.787103473E0
